dependency_name,packages_declaring,used,dependabot_bumps_24m,removal_candidate,removal_summary,overlap_group,consolidation_note,replacement_effort,how_to_remove,replacement_dependency,replacement_reason
latest-version,cli-kit,yes,0,yes,"Quick win – trivial removal, no upstream churn",,,trivial,"Replace the `latestVersion(name)` call with a direct fetch to the npm registry: `fetch('https://registry.npmjs.org/' + name + '/latest').then(r => r.json()).then(d => d.version)`. This is a one-function change in node-package-manager.ts. Remove the `import latestVersion from 'latest-version'` statement and the `""latest-version"": ""7.0.0""` entry from cli-kit's package.json. Update the test mock to mock the fetch call instead.",none,"latest-version is a thin wrapper around a single npm registry fetch. Node.js 18+ ships `fetch` as a global built-in, making the dependency entirely redundant. The replacement is a one-liner fetch call."
macaddress,cli-kit,yes,0,yes,"Quick win – trivial removal, no upstream churn",,,trivial,Node.js's built-in `os.networkInterfaces()` returns all network interface details including MAC addresses. A two-line replacement: `Object.values(os.networkInterfaces()).flat().find(i => i && !i.internal && i.mac !== '00:00:00:00:00:00')?.mac ?? '00:00:00:00:00:00'`. This eliminates the dependency with no behavioral change. Alternatively the already-declared sibling dependency `network-interfaces` (v1.1.0 in package.json) can serve the same role.,none,"The single call `macaddress.one()` can be replaced with 2-3 lines using Node.js `os.networkInterfaces()` (built-in, no new dependency needed). macaddress@0.5.3 is pinned to an exact version and the npm package has seen very few releases historically, making it a low-value transitive dependency worth removing."
minimatch,cli-kit,yes,58,yes,"Easy win – small effort, cuts 58 dependabot bumps",glob-matching,replace with micromatch – already a transitive dep via fast-glob,small,"Option A: Switch to `micromatch` (already common in the Node.js ecosystem and used by many tools like fast-glob) — API is nearly identical. Option B: Since `fast-glob` is already a direct dependency in cli-kit, use `micromatch.isMatch()` which fast-glob itself bundles. Option C: Node.js 22+ provides `path.matchesGlob()` (stable in v22.10+) for simple cases, though it doesn't support the full minimatch feature set. Whichever replacement is chosen, only `fs.ts` and its tests need updating.",micromatch,"Only one call site in fs.ts wraps minimatch. micromatch has a compatible API (`micromatch.isMatch(key, pattern)`) and is already indirectly present in the dependency tree via fast-glob. Alternatively, since this repo targets Node 20+, `path.matchesGlob` (available since Node 22.10) could be evaluated once Node version is bumped."
mrmime,cli-kit,yes,0,yes,"Easy win – small effort, no upstream churn",,,small,"Option A: Replace with `mime` (mime@4) which is actively maintained and has a similar API: `import mime from 'mime'; mime.getType(fileName)`. The mutable `mimes` dictionary would need a small shim using `mime.define()`. Option B: Replace with `mime-types` (well-established, widely used). Option C: For the limited use case (extension -> MIME type lookup), inline a small static map of the MIME types actually needed by the codebase. Only `mimes.ts` and its consumers require changes.",mime,mrmime is pinned to 1.0.1 (an old version; current is 2.x). The usage is confined to a single 24-line file with two simple functions. The `mime` package (v4) is a well-maintained drop-in replacement with an equivalent lookup API. The mutable dictionary feature (`setMimeTypes`) maps cleanly to `mime.define()`.
n-gram,plugin-did-you-mean,yes,0,yes,"Quick win – trivial removal, no upstream churn",,,trivial,"Inline a one-line bigram helper directly in packages/plugin-did-you-mean/src/index.ts: `const bigram = (s: string) => Array.from({length: s.length - 1}, (_, i) => s.slice(i, i + 2))`. Remove the import and the `n-gram` entry from plugin-did-you-mean/package.json.",none,"The entire usage is a single `bigram(str)` call pattern that is trivially reproducible as a one-liner using Array.from. The package has had 0 releases in the last 24 months, indicating it is unmaintained. Inlining eliminates an external dependency with no functional risk."
network-interfaces,cli-kit,yes,0,yes,"Easy win – small effort, no upstream churn",,,small,"Replace the `ni.fromIp(backendIp, ...)` call with a Node.js built-in equivalent using `os.networkInterfaces()`. Iterate its entries, flatten to IPv4 addresses, and check that `backendIp` is present among them. This is ~5–10 lines of code replacing the one call. Remove the `network-interfaces` entry from cli-kit/package.json and delete the co-located network-interfaces.d.ts stub.",none,"Node.js `os.networkInterfaces()` (available since Node 0.6, stable in all supported versions) exposes the same data that network-interfaces wraps. The package has 0 releases in 24 months and is effectively abandoned. A small inline replacement covers the single call site."
node-abort-controller,cli-kit,yes,0,yes,"Quick win – trivial removal, no upstream churn",,,trivial,The repo already requires Node >=20.10.0 (cli-kit/package.json engines field). AbortController and AbortSignal are global built-ins in Node 20. Update packages/cli-kit/src/public/node/abort.ts to `export class AbortController extends globalThis.AbortController {}` and `export class AbortSignal extends globalThis.AbortSignal {}` (or remove the intermediate subclasses entirely and re-export globals directly). Remove the `node-abort-controller` dependency from cli-kit/package.json.,none,"The package was a polyfill for Node <15. The codebase now requires Node >=20.10.0, where AbortController and AbortSignal are stable globals. The polyfill is entirely redundant. The package has had 0 releases in the last 24 months. Removing it requires changing only one file (abort.ts) with no functional change to the 27 consumers."
node-stream-zip,cli-kit; theme,yes,0,yes,"Quick win – trivial removal, no upstream churn",,,trivial,"Replace node-stream-zip in both test files with Node.js built-in zlib + fs (reading a zip for verification) or with the already-present 'archiver' package's streaming API, or use the lightweight 'unzipper' package. The tests only enumerate zip entries, so a trivial helper using Node's native `fs.readFileSync` + a pure-JS zip parser (e.g. `fflate`) would suffice. Two files, one call-site each.",fflate,"fflate is a zero-dependency, pure-JS zip reader/writer (ESM + CJS) that can replace the StreamZip entry-enumeration pattern in the two test files with minimal code change. Alternatively the tests could use the native Node.js `zlib` streams combined with `archiver`'s own reading helpers, keeping the dependency count flat."
open,cli-kit,yes,0,yes,"Easy win – small effort, no upstream churn",,,small,"The 'open' package is a thin cross-platform wrapper around `xdg-open` (Linux), `open` (macOS), and `start` (Windows). Replacing it requires ~20-30 lines of platform-detection logic using Node.js `child_process.spawn` and `process.platform`. This is well-understood, has no dependencies, and is a single function. Effort is small but not trivial because Windows shell escaping and error handling must be replicated correctly.",none,"The functionality (open a URL in the default browser) can be inlined as a small platform-switch using Node's built-in `child_process.spawn`. The 'open' package itself is essentially that, at ~150 lines. Given the single call site and well-documented platform behaviour, inlining removes one external dependency with minimal risk."
prettier,app; eslint-plugin-cli,yes,0,yes,"Easy win – small effort, no upstream churn",,,small,"The single production use is formatting generated TypeScript source with options {parser: 'typescript', singleQuote: true}. This could be replaced by: (a) dropping formatting of generated types entirely (lowest effort, output is consumed programmatically), or (b) switching to a lighter alternative such as `dprint` (wasm-based, much smaller install) or simply calling the TypeScript compiler's printer API. Either path touches one wrapper file (file-formatter.ts) and one call site (ui_extension.ts). The eslint-plugin-cli devDependency can be removed without any source change.",none,"The sole production use is formatting auto-generated TypeScript that is not shown to users, so dropping formatting is the simplest path. If formatting must be preserved, dprint or @typescript-eslint/parser's built-in printer are lighter alternatives. The eslint-plugin-cli devDependency is already unused in source."
proper-lockfile,app,yes,0,yes,"Easy win – small effort, no upstream churn",,,small,"The usage is a single `lockfile.lock()` / `releaseLock()` pair. Node.js 18+ provides `fs.openSync` with the `O_EXCL` flag for advisory locking on most platforms, but cross-platform reliability is limited. Lighter-weight alternatives include: (a) 'lockfile' (npm, minimal), (b) 'proper-lockfile' could be replaced by a manual stale-PID lock file using `fs.writeFileSync` + retry loop (~30 lines). Effort is small: one production file, one lock acquisition site.",none,"The locking pattern (write a PID file, retry on contention, auto-expire stale locks) is straightforward to implement with Node.js built-ins in ~30 lines. proper-lockfile itself has had no releases since 2020, meaning it is effectively unmaintained. Its last major version (4.x) is stable but carries risk for future Node.js compatibility. Inlining the lock logic removes the dependency entirely."
qrcode.react,ui-extensions-dev-console,yes,1,yes,"Easy win – small effort, cuts 1 dependabot bump",,,small,"Replace with the `qrcode` package (pure Node/browser, no React wrapper) and render the QR code into a <canvas> or <img> via a useEffect, or switch to the lighter `react-qr-code` (SVG-based, zero extra deps). The QRCodeModal component is self-contained (~100 LOC) so the change is isolated to that one file.",react-qr-code,"react-qr-code is SVG-based, has no peer-deps beyond React, is actively maintained, and the API is a near-identical drop-in (<QRCode value={url} size={170} />). Alternatively, if the team wants to remove all wrapper libs, the bare `qrcode` package can generate a data-URL rendered in an <img> tag with ~5 lines of useEffect."
react-router-dom,ui-extensions-dev-console,yes,48,yes,"Quick win – trivial removal, cuts 48 dependabot bumps",,,trivial,"The entire routing setup is a BrowserRouter wrapping a single wildcard route. Remove the Routes.tsx wrapper entirely and render <Extensions /> directly. Because BrowserRouter is not used for navigation (the custom useNavigate hook bypasses it), removing it has no functional impact. Delete the Routes component and update its single call-site (likely App.tsx or main.tsx) to render Extensions directly.",none,There is only one route (path='*') so no routing logic is actually needed. The custom useNavigate hook emits WebSocket events and does not depend on react-router-dom at all. The dependency adds ~25 kB to the dev-console bundle for zero routing benefit.
react-toastify,ui-extensions-dev-console,yes,1,yes,"Easy win – small effort, cuts 1 dependabot bump",,,small,"Replace ToastContainer + toast() with a lightweight custom implementation: a React context holding a toast queue (array of {id, message}), a fixed-position container component that renders them with a CSS transition, and a dismiss-after-timeout effect. Alternatively use `sonner` (modern, tiny, framework-agnostic) which has the same imperative toast() API. Changes span 3 source files (~40 LOC total import sites) plus one new context/component.",sonner,"react-toastify v9/v10 carries a ~32 kB CSS bundle and ~15 kB JS. The dev-console only uses two toast() call-sites and a single ToastContainer. `sonner` is a smaller, modern alternative with the same imperative API, or the team can inline a ~60-line custom toast context since requirements are minimal (bottom-center, dark theme, no progress bar, close-on-click)."
react-transition-group,ui-extensions-dev-console,yes,0,yes,"Easy win – small effort, no upstream churn",,,small,Replace <TransitionGroup> in Modal.tsx with a React Fragment (it is only used as a thin wrapper to enable CSSTransition children). Replace <CSSTransition> in Dialog.tsx with a CSS-only approach: keep the enter/exit class names already defined in Dialog.module.scss and apply them directly via a local boolean state (isEntering/isExiting) toggled by useEffect. The animation logic is entirely CSS-driven; the library only adds/removes class names on mount/unmount. Approx 30–40 lines of React + hook code.,none,"The library's sole job here is toggling CSS class names on mount/unmount transitions. The same effect can be achieved with a small custom hook that applies the enter/exit classes and calls onClose after the transition ends, eliminating the dependency entirely."
semver,cli-kit,yes,56,yes,"Easy win – small effort, cuts 56 dependabot bumps",,,small,"Node.js does not have a built-in semver parser, but the usage is limited to three call sites: two SemVer.compare() calls and two satisfies(version, range) calls. These can be replaced with the lightweight `compare-versions` package (zero-dependency, ~800 bytes), or inlined with a simple regex-based comparator. The range syntax used is simple (>=x.y.z) so a custom implementation would be trivial. Estimated effort: ~20–40 lines or a swap to compare-versions.",compare-versions,Only three call sites using basic comparison and a simple range check. compare-versions covers all these cases with zero transitive dependencies and a much smaller footprint than the full semver package.
strip-ansi,cli-kit; e2e,yes,0,yes,"Quick win – trivial removal, no upstream churn",terminal-colors,inline – single /\x1B\[[0-9;]*m/g regex,trivial,"The strip-ansi v7+ package is ESM-only and exports a single function that applies the regex /[\u001B\u009B][[\]()#;?]*(?:(?:(?:(?:;[-a-zA-Z\d\/#&.:=?%@~_]+)*|[a-zA-Z\d]+(?:;[-a-zA-Z\d\/#&.:=?%@~_]*)*)?)|(?:(?:\d{1,4}(?:;\d{0,4})*)?[\dA-PR-TZcf-nq-uy=><~]))/g to the input string. This one-liner can be inlined as a shared utility (e.g. in cli-kit/src/private/node/ansi.ts) and imported wherever needed. The e2e re-export wrapper already isolates the dependency surface.",none,The entire package is a single regex applied to a string. Inlining the regex as a small utility function eliminates the dependency with zero behaviour change and removes the ESM interop wrapper currently needed in the e2e package.
supports-hyperlinks,cli-kit,yes,0,yes,"Easy win – small effort, no upstream churn",terminal-colors,inline – 3-line env-var check; pairs with ansi-escapes,small,"Replace with a one-liner inline check using `process.env.TERM_PROGRAM` / `process.env.COLORTERM` heuristics, or inline the single boolean property that is used (`supportsHyperlinks.stdout`). The package itself is tiny (~50 lines); copying its logic into a local utility or using `ansi-escapes`'s own hyperlink support detection would be trivial. Only one production call site.",none,"The package is only used for a single boolean check (`supportsHyperlinks.stdout`). That logic can be inlined in a few lines using environment-variable heuristics (the same approach the package uses internally), removing one external dependency."
tempy,cli-kit; e2e; features,yes,13,yes,"Easy win – small effort, cuts 13 dependabot bumps",,,small,"Both functions map directly to Node.js built-ins: `temporaryDirectory()` is equivalent to `fs.mkdtempSync(path.join(os.tmpdir(), ''))` and `temporaryDirectoryTask(cb)` is equivalent to creating a temp dir, calling the callback, then cleaning up in a finally block. Replace the two call sites in cli-kit/fs.ts and features/environment.steps.ts with inline Node.js code; remove the e2e package declaration. Total change is ~15 lines.",none,"Node.js `fs.mkdtemp` / `fs.mkdtempSync` combined with `os.tmpdir()` provide identical functionality with zero dependencies. The wrapper in cli-kit/fs.ts already abstracts the API, so callers would be unaffected by the swap."
terminal-link,cli-kit,yes,0,yes,"Easy win – small effort, no upstream churn",terminal-colors,redundant with ansi-escapes.link() – drop terminal-link,small,"Replace with a direct call to `ansiEscapes.link(text, url)` (already present in the codebase via the Link.tsx component) plus a manual terminal-support check (see supports-hyperlinks above). The fallback logic (5 lines) can be inlined. Only one production call site in content-tokens.ts.",ansi-escapes,ansi-escapes is already used in the codebase (Link.tsx uses `ansiEscapes.link`) and covers the OSC 8 link generation. Inlining the fallback eliminates the terminal-link dependency entirely.
ts-error,cli-kit,yes,0,yes,"Quick win – trivial removal, no upstream churn",,,trivial,ts-error's ExtendableError is a single-class shim that fixes the `instanceof` chain for Error subclasses in ES5 targets. Modern TypeScript with ES2015+ targets handles this natively. Replace the re-export in error.ts with a locally defined class: `export class ExtendableError extends Error { constructor(message?: string) { super(message); this.name = new.target.name; } }`. No downstream call sites need to change.,none,The entire package provides one class (~10 lines) that is now unnecessary with ES2015+ targets. Inlining eliminates the dependency with a trivial one-time change in a single file.
typedoc,cli-kit,yes,35,yes,"Quick win – trivial removal, cuts 35 dependabot bumps",,,trivial,"Delete or replace packages/cli-kit/scripts/build-api-docs.js. If API docs are still needed, the script could be replaced with a simpler alternative (e.g. tsdoc + api-extractor) or the docs pipeline could be moved to a dedicated CI job that installs typedoc independently without it being a declared dependency of cli-kit.",none,"Used only in an optional doc-generation script, not in any production or test code. Removing it from the package.json dependency list has zero runtime impact."
which,app; cli-kit,yes,0,yes,"Easy win – small effort, no upstream churn",,,small,"Node 18.19+ provides import('node:child_process').execFileSync with which-like PATH resolution, but a direct drop-in is `node:child_process` + manual PATH splitting. Alternatively the lightweight `locate-path` or a hand-rolled PATH scan using `fs.accessSync` could replace all three call sites. The total surface area is small — three call sites with well-understood semantics.",none,"All three usages (sync PATH lookup, find-all PATH lookup, nothrow PATH lookup) can be implemented with a small helper using Node's built-in `node:child_process` / `node:fs` / `process.env.PATH` without adding a new dependency."
yaml,theme,yes,56,yes,"Easy win – small effort, cuts 56 dependabot bumps",config-parsers,inline – only yaml.stringify used; 3 call sites,small,"All three usages call only YAML.stringify() on simple objects. This can be replaced with a hand-rolled serialiser for the simple key-value / nested-object shapes involved, or by switching to the lighter-weight js-yaml (which is likely already a transitive dependency via @shopify/theme-check-node). Alternatively, a ~20-line recursive stringifier covers the object shapes used here.",js-yaml,"Only YAML.stringify is used, on simple object shapes, in a single file. js-yaml is already a common transitive dependency in the monorepo and exposes a compatible dump() API, making substitution a near-trivial find-and-replace."
@ast-grep/napi,cli,yes,29,no,"Keep – high churn, hard to remove",,,large,"Cannot be removed from packages/cli without also removing or replacing the @shopify/cli-hydrogen dependency (or upgrading it to a version that no longer relies on @ast-grep/napi). The dependency is a native binary (NAPI) used by cli-hydrogen's AST transformation utilities; replacing it would require either forking cli-hydrogen or waiting for an upstream change. If cli-hydrogen itself were removed, then @ast-grep/napi and the esbuild external entry in bundle.js could also be dropped.",none,The dependency is actively used at runtime by @shopify/cli-hydrogen for AST code transformations. It is a native binary module that cannot be trivially replaced with a Node.js built-in. Removal would require changes to an upstream external dependency.
@bugsnag/js,cli-kit,yes,56,no,"Keep – high churn, hard to remove",,,medium,"Replace the three Bugsnag-dependent functions with direct HTTP POST calls to the same Shopify-internal endpoints (https://error-analytics-production.shopifysvc.com). The payload format must match the Bugsnag Error Reporting API JSON schema. Stack-trace cleaning and metadata enrichment logic already lives in the surrounding code and can be reused. The rate-limiting and environment-guard logic is already independent of the Bugsnag client. Tests mocking @bugsnag/js in error-handler.test.ts would need to be rewritten to mock the new HTTP client instead. Estimated scope: replace ~80 lines of Bugsnag API calls with a lightweight fetch/http wrapper, update types, and update tests.",none,"The replacement would require implementing and validating a custom Bugsnag API payload builder against Shopify-internal relay endpoints. That is non-trivial due to the structured event envelope, session tracking hooks, and the need to exactly reproduce the on-error plugin mechanism used for stack-trace normalisation. The effort is classified as medium, so the feasibility rules indicate this is not a removal candidate at this time. If Shopify decides to migrate to a different error-monitoring service (e.g. Sentry) the effort could be re-evaluated, but a simple removal without a replacement would silently drop all production error reporting."
@cucumber/cucumber,@shopify/features,yes,28,no,"Keep – high churn, hard to remove",,,large,"Would require replacing the entire BDD/acceptance test framework. All 8 step files and the world constructor would need to be rewritten using a different runner (e.g. Vitest, Jest, or a custom Node test harness). The .feature Gherkin files would either need to be removed or re-expressed as plain test specs. This is a full rewrite of the integration/acceptance test layer.",none,The package is the core runtime for the entire acceptance test suite. Replacement effort is large and there is no drop-in alternative that would preserve the Gherkin .feature files without a major rewrite.
@graphql-typed-document-node/core,app; cli-kit,yes,0,no,"Keep – stable, hard to remove",,,medium,"1. Define a local equivalent interface (e.g. in cli-kit's graphql.ts): 'interface TypedDocumentNode<TResult, TVariables> extends DocumentNode { __apiType?: (v: TVariables) => TResult }'. 2. Update the 8 hand-written API files to import this local type instead of @graphql-typed-document-node/core. 3. Update the graphql-codegen configuration (root package.json uses @graphql-codegen/typed-document-node 6.1.0) to use a custom scalar/plugin or the 'importDocumentNodeExternallyFrom' option pointing at the local definition, then regenerate all ~50 generated files. 4. Remove the dependency from packages/app/package.json and packages/cli-kit/package.json. Note: graphql-request's own .d.ts files import TypedDocumentNode from this package, so it will remain a transitive type dependency until graphql-request is upgraded to a version that bundles its own equivalent.",none,"The interface can be inlined locally (2-line definition), making an external package unnecessary. However the effort is 'medium' because ~50 auto-generated files import the type and the codegen pipeline (graphql-codegen config + @graphql-codegen/typed-document-node plugin) would need to be reconfigured to emit the local import path instead, followed by a full regeneration pass. The package has had zero releases in the last 24 months (pinned at 3.2.0 since 2022), meaning it is frozen/stable — it poses low maintenance risk and the removal pain exceeds the benefit at this time."
@oclif/core,app; cli-kit; cli; plugin-cloudflare; plugin-did-you-mean; theme,yes,10,no,"Keep – high churn, hard to remove",,,large,"Not feasible without replacing the entire CLI framework. @oclif/core provides the Command base class, flag/arg parsing, Config loading, Hook infrastructure, and the run/flush lifecycle. Every command across all six declaring packages would need to be rewritten against a different framework (e.g., commander, yargs, or a bespoke solution). The custom ShopifyConfig subclass, environment-flag merging in BaseCommand, and the fanout-hooks system in cli-kit are all tightly coupled to @oclif/core internals. A migration would be equivalent to a full CLI framework replacement — at minimum several engineer-months of work.",none,"@oclif/core is the foundational framework for the entire Shopify CLI. Removing it would require rebuilding the command dispatch, flag parsing, plugin loading, hook, and config subsystems from scratch. The coupling is pervasive across all major packages and test suites."
@oclif/plugin-plugins,cli,yes,2,no,"Keep – active upstream, hard to remove",,,medium,"The package contributes the entire user-facing plugin management surface: install, uninstall, link, update, inspect, reset, and the update hook. Removing it entirely would mean either (a) dropping plugin management support from the CLI altogether, or (b) implementing these seven commands in-house. Option (a) is viable if the team determines that the existing user-installed-plugins feature (which allows end-users to extend the CLI at runtime) is not a supported use case — noting that the 'plugins' command is already hidden and 'plugins:install' has its description cleared, suggesting the team is actively de-emphasising this surface. Option (b) requires reimplementing npm/yarn package installation logic, the oclif plugin data-directory management, and the update hook — roughly a medium effort. If dropping: remove the import from index.ts, remove the hooks re-export, remove the package from packages/cli/package.json.",none,"Although the 'plugins' command is hidden and install description is cleared (signals of intentional de-emphasis), the package still contributes a hooks.update export that is re-exported from the cli package and consumed by the oclif lifecycle. Removing it risks breaking the CLI's update flow. The seven commands also represent non-trivial npm/plugin-management logic that would require meaningful reimplementation effort. This warrants a deliberate product decision before removal rather than a clean mechanical extraction, putting effort at 'medium' and the candidate at 'no' until the team confirms plugin management is no longer a supported feature."
@opentelemetry/api,cli-kit,yes,56,no,"Keep – high churn, hard to remove",,,large,"Cannot be removed in isolation. The entire vendor/otel-js subtree (8 files: DefaultOtelService, DefaultMeterProvider, BaseOtelService, InstantaneousMetricReader, types, validators, throttle, utils) plus packages/cli-kit/src/private/node/otel-metrics.ts would need to be deleted or replaced. The otel-metrics.ts module is called from the CLI command lifecycle to record cli_commands_total, cli_commands_duration_ms, and cli_commands_wall_clock_elapsed_ms metrics to a Shopify OTLP collector endpoint. A full replacement would require either (a) removing metric telemetry entirely, (b) rewriting against a different metrics SDK, or (c) hand-rolling an OTLP HTTP exporter. All options require substantial cross-file changes.",none,"No lightweight drop-in replacement covers the full OTel metrics pipeline (MeterProvider + OTLP HTTP export + resource labelling). Removing the dependency requires removing or replacing the entire metrics subsystem, which is a deliberate product decision rather than a dependency hygiene task."
@opentelemetry/core,cli-kit,yes,56,no,"Keep – high churn, hard to remove",,,large,"ExportResultCode could theoretically be inlined as a local enum (trivial to replicate: SUCCESS=0, FAILED=1), but @opentelemetry/core cannot be removed without also removing the entire OTel stack because it is declared as a direct dependency coordinating with sdk-metrics internals. Any standalone extraction of ExportResultCode would still leave the rest of the stack intact. Full removal requires eliminating the entire metrics subsystem (same as @opentelemetry/api).",none,"Although the single imported symbol (ExportResultCode) could be inlined trivially, the surrounding OTel stack that makes it necessary cannot be removed without a larger architectural decision. Removing core in isolation while keeping sdk-metrics would cause peer-dependency conflicts."
@opentelemetry/exporter-metrics-otlp-http,cli-kit,yes,56,no,"Keep – high churn, hard to remove",,,large,"Removing the OTLP HTTP exporter would require either (a) removing all metric export capability from the CLI, (b) hand-rolling a minimal OTLP/HTTP implementation using Node's built-in fetch/https, or (c) switching to a different metrics backend (e.g. statsd, Prometheus remote write). All options require rewriting DefaultMeterProvider.ts and otel-metrics.ts, and coordinating with the Shopify platform team about the collector endpoint.",none,This package is the sole mechanism by which CLI metrics reach Shopify's OTLP collector. It cannot be removed without either ending metric reporting or replacing it with an equivalent transport.
@opentelemetry/resources,cli-kit,yes,56,no,"Keep – high churn, hard to remove",,,large,"The Resource constructor call could technically be replaced by passing a plain object if MeterProvider's API allowed it, but the sdk-metrics MeterProvider requires an actual Resource instance. Removal requires eliminating the entire OTel stack, not just this one package.",none,Tightly coupled to @opentelemetry/sdk-metrics MeterProvider constructor. Cannot be substituted without replacing the SDK itself.
@opentelemetry/sdk-metrics,cli-kit,yes,56,no,"Keep – high churn, hard to remove",,,large,sdk-metrics is the foundation of the entire vendor/otel-js subtree. Removing it would require rewriting or deleting all 8 files in that subtree and the otel-metrics.ts private module. There is no smaller-footprint drop-in that provides MeterProvider + MetricReader + OTLP-compatible aggregation in Node.js.,none,This is the central dependency the entire metrics subsystem is built on. Removal is only feasible as part of a complete removal or wholesale replacement of the CLI's OTel metrics pipeline.
@playwright/test,e2e,yes,0,no,"Keep – stable, hard to remove",,,large,"The entire e2e package is built around the Playwright runner. Replacing it would require migrating all test fixtures, custom CLI fixtures (cliFixture in setup/cli.ts), browser-login helpers, and spec files to a different end-to-end framework (e.g. Cypress, WebdriverIO). The browser-based login flow (packages/e2e/helpers/browser-login.ts) uses Playwright's Page API and browser automation features. All 7 spec files would need to be rewritten. The playwright.config.ts configuration (reporters, workers, retries, global timeouts) would need equivalent config in the replacement framework. This is a full framework swap with no trivial migration path.",none,"The effort is classified as large because @playwright/test IS the e2e test framework — every fixture, helper, and spec file depends on it. There is no way to remove it without replacing the entire e2e test suite. The dependency is actively maintained by Microsoft, has a healthy release cadence, and is the industry standard for browser-based end-to-end testing. Removal would eliminate all end-to-end test coverage."
@testing-library/react,ui-extensions-dev-console; ui-extensions-server-kit; ui-extensions-test-utils,yes,0,no,"Keep – stable, hard to remove",,,medium,"The dependency is central to the test-utils package's public API and used directly in multiple test files across three packages. Removal would require: 1. Replacing the two wrapper functions in ui-extensions-test-utils (render.tsx, renderHook.tsx) with implementations based on an alternative (e.g. Vitest's built-in component testing utilities or @testing-library/preact if applicable). 2. Updating all 5 direct usages in ui-extensions-dev-console tests to use the replacement API — the imports of `screen`, `fireEvent`, `render`, `act` would need to point elsewhere. 3. Updating the direct usage in ui-extensions-server-kit/ExtensionServerProvider.test.tsx. The @testing-library/react API (render, screen, fireEvent, act, renderHook) is deeply embedded in the test patterns across these packages. While Vitest does provide a jsdom environment, it does not ship its own render helpers — a replacement library would still be needed, making this a like-for-like swap rather than a true removal.",none,"The effort is classified as medium. The dependency is actively used across three packages with 8 direct import sites forming the backbone of React component and hook testing. There is no drop-in replacement available that would not require touching every test file. The library is healthy, actively maintained, and is the de-facto standard for React component testing. Removal without a replacement would leave the packages untestable at the component level."
@types/archiver,cli-kit,yes,0,no,"Keep – stable, hard to remove",,,medium,"To remove, you would need to either: (1) replace the 'archiver' dependency with an alternative that ships bundled TypeScript types (e.g. 'archiver' v6+ if it ever adds types, or a different archiving library), or (2) write local ambient declarations in a .d.ts file within cli-kit. The archiver usage is non-trivial — it is used for both zip and tar+brotli compression across packages/cli-kit/src/public/node/archiver.ts — so swapping the underlying library requires validating the archiving API surface.",none,The underlying 'archiver' package is actively used and ships no bundled types. @types/archiver is required for TypeScript compilation. Removal would break the build unless the underlying package is swapped for one that bundles types.
@types/body-parser,app,yes,27,no,"Keep – high churn, hard to remove",,,medium,"To remove, you would need to: (1) replace 'body-parser' with a middleware that ships bundled types (e.g. express v5 includes its own body parsing, or use the built-in express.json()/express.urlencoded() which are already typed via @types/express), or (2) write local ambient declarations. In graphiql/server.ts, body-parser is used for JSON and URL-encoded body parsing via express middleware — this could be replaced with express's own built-in parsers, which would be a small refactor.",none,"The underlying 'body-parser' package is actively used and ships no bundled types. However, the functionality could be migrated to express's built-in body parsing (express.json()/express.urlencoded()), which would eliminate the need for both body-parser and @types/body-parser. That refactor is 'small' but out of scope for a pure types audit."
@types/diff,app; cli-kit,yes,49,no,"Keep – high churn, hard to remove",,,n/a,"Cannot remove — @types/diff is actively needed because diff@5.x ships no bundled types. Removal would break type-checking in cli-kit/src/private/node/content-tokens.ts, cli-kit/src/public/node/output.ts, and app/src/cli/services/app/env/pull.ts. The only alternative is to migrate from 'diff' to a TypeScript-native library (e.g. 'diff-match-patch' or 'fast-diff' with bundled types), which is a medium-size refactor.",none,diff@5.x has no bundled types; @types/diff is necessary for type-safe use of Change and diffLines across two packages.
@types/fs-extra,cli-kit; features,yes,1,no,"Keep – active upstream, hard to remove",,,n/a,"Cannot remove — @types/fs-extra is actively needed because fs-extra@11.x ships no bundled types. Removal would break type-checking in cli-kit/src/public/node/fs.ts and two files in features. Possible long-term strategy: cli-kit already wraps fs-extra functions in its own public API (node/fs.ts), so fs-extra could be replaced by native Node.js fs/promises for those wrapped functions, eventually eliminating the fs-extra dependency entirely. The features package uses fs-extra directly for convenience; replacing with node:fs/promises is trivial per file but requires auditing all usage.",none,fs-extra@11.x ships no bundled types and is actively used across two packages. Removal of @types/fs-extra would require first eliminating or replacing the fs-extra dependency itself.
@types/gradient-string,cli-kit,yes,27,no,"Keep – high churn, hard to remove",,,small,"Not a removal candidate — still needed. If gradient-string ever ships bundled types or is replaced, remove @types/gradient-string from cli-kit devDependencies at the same time.",none,"gradient-string is actively used and does not bundle its own types. @types/gradient-string has had 0 releases in the last 24 months (the @types package is essentially stable/complete), but the underlying package is still in use so the type package must be retained."
@types/lodash,cli-kit,yes,50,no,"Keep – high churn, hard to remove",,,large,"Not a removal candidate. To eliminate the dependency, replace all lodash usage with native JS equivalents or a typed-by-default alternative (e.g. es-toolkit). This would require touching ~20 source files across cli-kit.",none,lodash is pervasively used and does not bundle types. Replacement would require a large refactor across cli-kit.
@types/node,e2e,yes,50,no,"Keep – high churn, hard to remove",,,n/a,Not removable — Node.js built-in APIs have no JS replacement. The version pin (18.x) could be updated to match the minimum Node engine (>=20.10.0). No removal path exists while the project uses Node.js built-ins.,none,@types/node is essential for typing Node.js built-in modules and globals in the e2e package.
